entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Emiliano Madriz,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Emiliano Madriz?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Emilio Carlos Berlie Belaunzarán,Cargo,"['obispo diocesano', 'arzobispo de Yucatán']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Emilio Carlos Berlie Belaunzarán?,"['obispo diocesano', 'arzobispo de Yucatán']","['mexico', 'mexico']","[['obispo eparquial', 'obispo ordinario', 'obispo residencial'], ['arzobispo de Mérida']]"
Emilio Ochoa,Cargo,['senador de la República'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Emilio Ochoa?,['senador de la República'],['cuba'],"[['miembro del senado de uruguay', 'senador uruguayo', 'senadora de uruguay', 'senadora uruguaya']]"
Emilio de los Santos,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Emilio de los Santos?,['presidente de la República Dominicana'],['republica_dominicana'],"[['PresidenciaRD', 'presidenta de la República Dominicana', 'Presidente de la Republica Dominicana', 'Presidente de la República Dominicana']]"
Emma Claudia Castellanos,Cargo,"['senador de Colombia', 'embajador de Colombia en Brasil']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Emma Claudia Castellanos?,"['senador de Colombia', 'embajador de Colombia en Brasil']","['colombia', 'colombia']","[['miembro del Senado de Colombia', 'miembro del Senado de la Republica de Colombia', 'miembro del Senado de la República de Colombia', 'senador colombiano', 'senadora colombiana', 'senadora de Colombia', 'Senadora de la República de Colombia'], []]"
Ena von Baer,Cargo,"['senador de Chile', 'ministro secretario general de Gobierno de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Ena von Baer?,"['senador de Chile', 'ministro secretario general de Gobierno de Chile']","['chile', 'chile']","[['miembro del Senado de Chile', 'senador chileno', 'senador de la República de Chile', 'senadora chilena', 'senadora de Chile'], ['ministro de la Secretaría General de Gobierno de Chile', 'ministro vocero de Gobierno de Chile', 'vocero de Gobierno de Chile']]"
Enrique Ayala Mora,Cargo,"['presidente', 'diputado Nacional del Ecuador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Ayala Mora?,"['presidente', 'diputado Nacional del Ecuador']","['ecuador', 'ecuador']","[['presidenta', 'maximo mandatario', 'máximo mandatario', 'Pdte', 'Pdte.', 'presidente de un Estado', 'primer mandatario'], ['diputado de Ecuador']]"
Enrique Bolaños Geyer,Cargo,"['Presidente de Nicaragua', 'vicepresidente de Nicaragua']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Bolaños Geyer?,"['Presidente de Nicaragua', 'vicepresidente de Nicaragua']","['nicaragua', 'nicaragua']","[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua'], []]"
Enrique Cáceres Villafante,Cargo,['árbitro FIFA'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Cáceres Villafante?,['árbitro FIFA'],['paraguay'],[['arbitro FIFA']]
Enrique Gil Gilbert,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Gil Gilbert?,['diputado Nacional del Ecuador'],['ecuador'],[['diputado de Ecuador']]
Enrique Ortez,Cargo,['Ministro de Relaciones Exteriores'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Ortez?,['Ministro de Relaciones Exteriores'],['honduras'],"[['canciller', 'Ministro de Asuntos Exteriores']]"
Enrique Osses Zencovich,Cargo,['árbitro FIFA'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Osses Zencovich?,['árbitro FIFA'],['chile'],[['arbitro FIFA']]
Enrique Peralta Azurdia,Cargo,['presidente de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Peralta Azurdia?,['presidente de Guatemala'],['guatemala'],"[['Presidenta de Guatemala', 'Presidente Constitucional de la República de Guatemala', 'presidente de la República de Guatemala']]"
Enrique Peña Nieto,Cargo,"['presidente de México', 'Gobernantes del Estado de México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Peña Nieto?,"['presidente de México', 'Gobernantes del Estado de México']","['mexico', 'mexico']","[['presidenta de México', 'presidente de los Estados Unidos Mexicanos', 'Presidente de Mexico', 'presidente mexicano'], []]"
Enrique Santos Montejo,Cargo,['embajador de Colombia en Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Santos Montejo?,['embajador de Colombia en Chile'],['colombia'],[[]]
Enrique Silva Cimma,Cargo,"['ministro de Relaciones Exteriores de Chile', 'contralor(a) general de la República de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Enrique Silva Cimma?,"['ministro de Relaciones Exteriores de Chile', 'contralor(a) general de la República de Chile']","['chile', 'chile']","[['canciller de Chile'], ['contralor general de la República de Chile', 'contralora general de la República de Chile']]"
Enriqueta Bonilla Portal,Cargo,['director'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Enriqueta Bonilla Portal?,['director'],['el_salvador'],"[['realizadora', 'director', 'directora', 'director de escena', 'directora de escena']]"
Epaminondas González Dubón,Cargo,['Magistrado de la Corte de Constitucionalidad de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Epaminondas González Dubón?,['Magistrado de la Corte de Constitucionalidad de Guatemala'],['guatemala'],[['Magistrada de la Corte de Constitucionalidad de Guatemala']]
Epifanio González,Cargo,['árbitro FIFA'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Epifanio González?,['árbitro FIFA'],['paraguay'],[['arbitro FIFA']]
Epsy Campbell Barr,Cargo,"['Cancilleres de Costa Rica', 'Vicepresidente de Costa Rica', 'Member of the Legislative Assembly of Costa Rica']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Epsy Campbell Barr?,"['Cancilleres de Costa Rica', 'Vicepresidente de Costa Rica', 'Member of the Legislative Assembly of Costa Rica']","['costa_rica', 'costa_rica', 'costa_rica']","[[], ['Vicepresidentes de costa rica', 'Vicepresidentes de Costa Rica'], []]"
Eric Arturo Delvalle,Cargo,['Presidente de Panamá'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Eric Arturo Delvalle?,['Presidente de Panamá'],['panama'],[['Presidente de Panama']]
Erick Mauricio Rodríguez,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Erick Mauricio Rodríguez?,['diputado del Congreso Nacional de Honduras'],['honduras'],"[['diputada de Honduras', 'diputada hondureña', 'diputado de Honduras', 'diputado hondureño', 'miembro del Congreso Nacional de Honduras', 'parlamentario de Honduras', 'parlamentario hondureño']]"
Ernesto Cardenal,Cargo,['ministro de Cultura'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Ernesto Cardenal?,['ministro de Cultura'],['nicaragua'],"[['ministra de cultura', 'secretaria de cultura', 'secretario de cultura']]"
Ernesto Mejía Sánchez,Cargo,['embajador de Nicaragua en España'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Ernesto Mejía Sánchez?,['embajador de Nicaragua en España'],['nicaragua'],[[]]
Ernesto Samper,Cargo,"['Presidente de Colombia', 'secretario general del Movimiento de Países No Alineados', 'embajador de Colombia']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Ernesto Samper?,"['Presidente de Colombia', 'secretario general del Movimiento de Países No Alineados', 'embajador de Colombia']","['colombia', 'colombia', 'colombia']","[[], [], []]"
Ernesto Zedillo,Cargo,"['presidente de México', 'Secretaría de Educación Pública de México', 'ministro de Educación', 'Candidato presidencial por el Partido Revolucionario Institucional']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Ernesto Zedillo?,"['presidente de México', 'Secretaría de Educación Pública de México', 'ministro de Educación', 'Candidato presidencial por el Partido Revolucionario Institucional']","['mexico', 'mexico', 'mexico', 'mexico']","[['presidenta de México', 'presidente de los Estados Unidos Mexicanos', 'Presidente de Mexico', 'presidente mexicano'], ['Secretaria de Educacion Publica de Mexico', 'SEP', 'Secretaria de Educacion Publica', 'Secretaria de Educacion Pública', 'Secretaria de Educación Publica', 'Secretaria de Educación Pública', 'Secretaría de Educacion Publica', 'Secretaría de Educacion Pública', 'Secretaría de Educación Publica', 'Secretaría de Educación Pública'], ['ministra de educacion', 'ministra de educación', 'ministro de Educacion', 'ministro de Instruccion Publica', 'ministro de Instrucción Pública'], ['Candidato del PRI', 'Candidato por el PRI']]"
Esdras Amado López,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Esdras Amado López?,['diputado del Congreso Nacional de Honduras'],['honduras'],"[['diputada de Honduras', 'diputada hondureña', 'diputado de Honduras', 'diputado hondureño', 'miembro del Congreso Nacional de Honduras', 'parlamentario de Honduras', 'parlamentario hondureño']]"
Esteban Gil Borges,Cargo,['embajador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Esteban Gil Borges?,['embajador'],['venezuela'],"[['embajadora', 'representante permanente']]"
Esteban Handal Perez,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Esteban Handal Perez?,['diputado del Congreso Nacional de Honduras'],['honduras'],"[['diputada de Honduras', 'diputada hondureña', 'diputado de Honduras', 'diputado hondureño', 'miembro del Congreso Nacional de Honduras', 'parlamentario de Honduras', 'parlamentario hondureño']]"
Estela de Carlotto,Cargo,['catedrático'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Estela de Carlotto?,['catedrático'],['argentina'],[['catedrática']]
Eugenio Araujo,Cargo,['Subsecretario General'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Eugenio Araujo?,['Subsecretario General'],['el_salvador'],"[['Sub-Secretario del Ministerio General', 'Sub-Secretario General', 'Subsecretario del Ministerio General', 'Subsecretario General de El Salvador']]"
Eugenio Rodríguez Vega,Cargo,['rector'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Eugenio Rodríguez Vega?,['rector'],['costa_rica'],"[['rectoría', 'rector magnificus', 'rectoria']]"
Eustacia Cortorreal,Cargo,['concejal'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Eustacia Cortorreal?,['concejal'],['republica_dominicana'],"[['concejala', 'concejales', 'regidor', 'regidora', 'consiliario', 'paher', 'edil', 'paer, jurat, jurado']]"
Eva Perón,Cargo,"['presidente', 'Líder Espiritual de la Nación Argentina', 'Primera dama de la Nación Argentina']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Eva Perón?,"['presidente', 'Líder Espiritual de la Nación Argentina', 'Primera dama de la Nación Argentina']","['argentina', 'argentina', 'argentina']","[['presidenta', 'maximo mandatario', 'máximo mandatario', 'Pdte', 'Pdte.', 'presidente de un Estado', 'primer mandatario'], ['Jefa Espiritual de la Nacion', 'Jefa Espiritual de la Nación', 'Lider Espiritual de la Nacion Argentina'], ['Primer caballero de Argentina', 'Primer Caballero de la Nacion Argentina', 'Primer caballero de la Nación Argentina', 'Primera dama de Argentina', 'Primera dama de la Argentina', 'Primera dama de la Nacion Argentina']]"
Evaristo Carazo,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Evaristo Carazo?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Evaristo Rocha,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Evaristo Rocha?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Ezequiel Fernández Jaén,Cargo,"['embajador', 'Presidente de Panamá']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Ezequiel Fernández Jaén?,"['embajador', 'Presidente de Panamá']","['panama', 'panama']","[['embajadora', 'representante permanente'], ['Presidente de Panama']]"
Fabio Reynaldo Colindres Abarca,Cargo,"['obispo diocesano', 'administrador apostólico']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fabio Reynaldo Colindres Abarca?,"['obispo diocesano', 'administrador apostólico']","['el_salvador', 'el_salvador']","[['obispo eparquial', 'obispo ordinario', 'obispo residencial'], ['Administrador apostólico', 'Administrador Apostólico']]"
Fabián Alarcón,Cargo,"['Presidente del Ecuador', 'diputado Nacional del Ecuador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fabián Alarcón?,"['Presidente del Ecuador', 'diputado Nacional del Ecuador']","['ecuador', 'ecuador']","[['Presidentes ecuatorianos', 'Presidente de Ecuador', 'Gobernantes de Ecuador', 'Presidente ecuatoriano', 'Presidentes de Ecuador'], ['diputado de Ecuador']]"
Facundo Machaín,Cargo,['presidente de Paraguay'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Facundo Machaín?,['presidente de Paraguay'],['paraguay'],"[['Presidente de la Republica del Paraguay', 'Presidente de la República del Paraguay']]"
Fander Falconí,Cargo,"['ministro de Educación', 'Canciller del Ecuador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fander Falconí?,"['ministro de Educación', 'Canciller del Ecuador']","['ecuador', 'ecuador']","[['ministra de educacion', 'ministra de educación', 'ministro de Educacion', 'ministro de Instruccion Publica', 'ministro de Instrucción Pública'], []]"
Fausto Gaibor García,Cargo,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fausto Gaibor García?,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']","['ecuador', 'ecuador', 'ecuador']","[['obispo'], [], ['obispo eparquial', 'obispo ordinario', 'obispo residencial']]"
Fausto Trávez Trávez,Cargo,"['obispo titular', 'obispo diocesano', 'vicario apostólico', 'Arzobispo de Quito']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fausto Trávez Trávez?,"['obispo titular', 'obispo diocesano', 'vicario apostólico', 'Arzobispo de Quito']","['ecuador', 'ecuador', 'ecuador', 'ecuador']","[[], ['obispo eparquial', 'obispo ordinario', 'obispo residencial'], [], []]"
Federico Alberto Tinoco Granados,Cargo,['Presidente de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Federico Alberto Tinoco Granados?,['Presidente de Costa Rica'],['costa_rica'],[[]]
Federico Franco,Cargo,['presidente de Paraguay'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Federico Franco?,['presidente de Paraguay'],['paraguay'],"[['Presidente de la Republica del Paraguay', 'Presidente de la República del Paraguay']]"
Federico Gamboa,Cargo,['Secretario de Relaciones Exteriores de México'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Federico Gamboa?,['Secretario de Relaciones Exteriores de México'],['mexico'],"[['Canceller de Mèxic', 'Canceller mexicà', 'secretari de Relacions Exteriors', 'secretària de Relacions Exteriors de Mèxic']]"
Federico Laredo Brú,Cargo,['Presidente de Cuba'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Federico Laredo Brú?,['Presidente de Cuba'],['cuba'],"[['Presidente de la República de Cuba', 'Presidente del Consejo de Estado de la Republica de Cuba', 'Presidente del Consejo de Estado de la República de Cuba']]"
Felipe Bustillo,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Felipe Bustillo?,['diputado del Congreso Nacional de Honduras'],['honduras'],"[['diputada de Honduras', 'diputada hondureña', 'diputado de Honduras', 'diputado hondureño', 'miembro del Congreso Nacional de Honduras', 'parlamentario de Honduras', 'parlamentario hondureño']]"
Felipe Calderón,Cargo,"['presidente de México', 'diputado de México', 'secretario de Energía de México', 'Presidente del Partido Acción Nacional']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Felipe Calderón?,"['presidente de México', 'diputado de México', 'secretario de Energía de México', 'Presidente del Partido Acción Nacional']","['mexico', 'mexico', 'mexico', 'mexico']","[['presidenta de México', 'presidente de los Estados Unidos Mexicanos', 'Presidente de Mexico', 'presidente mexicano'], ['diputación de México', 'diputada de Mexico', 'diputada de México', 'diputada federal de Mexico', 'diputada federal de México', 'diputada mexicana', 'diputado mexicano', 'miembro de la Camara de Diputados de Mexico', 'miembro de la Cámara de Diputados de México'], ['secretaria de Energia de Mexico', 'secretaria de Energía de México', 'Secretario de Energia de Mexico'], ['Presidenta del PAN', 'Presidente del PAN']]"
Felipe Francisco Molina y Bedoya,Cargo,['Ministro Plenipotenciario de El Salvador en los Estados Unidos de América'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Felipe Francisco Molina y Bedoya?,['Ministro Plenipotenciario de El Salvador en los Estados Unidos de América'],['costa_rica'],"[['Ministro Plenipotenciario de El Salvador en los Estados Unidos', 'Ministro Plenipotenciario de El Salvador en Washington']]"
Felipe González,Cargo,"['Presidente del Gobierno de España', 'diputado de España', 'secretario general del Partido Socialista Obrero Español']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Felipe González?,"['Presidente del Gobierno de España', 'diputado de España', 'secretario general del Partido Socialista Obrero Español']","['colombia', 'colombia', 'colombia']","[['Presidente del gobierno de Espana', 'Presidente del Gobierno espanol', 'Presidente del Gobierno español Jessica Fernandez Arias hijo', 'Presidentes del Gobierno de España', 'Primer Ministro de España'], ['diputado', 'diputada de España', 'diputada española', 'diputado al Congreso de los Diputados', 'diputado español', 'miembro del Congreso de los Diputados'], ['secretario general del PSOE']]"
Felipe Neri Medina,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Felipe Neri Medina?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Felipe Zúniga del Cid,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Felipe Zúniga del Cid?,['diputado del Congreso Nacional de Honduras'],['honduras'],"[['diputada de Honduras', 'diputada hondureña', 'diputado de Honduras', 'diputado hondureño', 'miembro del Congreso Nacional de Honduras', 'parlamentario de Honduras', 'parlamentario hondureño']]"
Fermín Ferrer,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fermín Ferrer?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Fermín Palacios,Cargo,"['presidente de El Salvador', 'Alcalde de San Salvador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fermín Palacios?,"['presidente de El Salvador', 'Alcalde de San Salvador']","['el_salvador', 'el_salvador']","[['presidenta de El Salvador', 'presidente salvadoreño'], ['Alcalde Municipal de San Salvador']]"
Fernando Aguirre Cordero,Cargo,"['gobernador', 'Asambleísta de Ecuador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Aguirre Cordero?,"['gobernador', 'Asambleísta de Ecuador']","['ecuador', 'ecuador']","[['Comisionado Civil', 'Eleccion gubernamental', 'Elección gubernamental', 'Gobernadora', 'governador'], []]"
Fernando Agüero Rocha,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Agüero Rocha?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Fernando Arturo de Meriño,Cargo,"['presidente de la República Dominicana', 'Arzobispo de Santo Domingo']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Arturo de Meriño?,"['presidente de la República Dominicana', 'Arzobispo de Santo Domingo']","['republica_dominicana', 'republica_dominicana']","[['PresidenciaRD', 'presidenta de la República Dominicana', 'Presidente de la Republica Dominicana', 'Presidente de la República Dominicana'], ['Arzobispo católico de Santo Domingo', 'Arzobispo Metropolitano de Santo Domingo', 'Arzobispo Primado de Santo Domingo', 'Metropolitano de Santo Domingo', 'Primado de América']]"
Fernando Belaúnde Terry,Cargo,"['presidente del Perú', 'diputado de Perú', 'senador de Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Belaúnde Terry?,"['presidente del Perú', 'diputado de Perú', 'senador de Perú']","['peru', 'peru', 'peru']","[['Presidente de la Republica del Peru', 'Presidente de la República del Perú', 'Presidente Constitucional de la Republica del Peru', 'Presidente Constitucional de la República del Perú', 'Presidente de Peru', 'Presidente de Perú', 'Presidente del Peru', 'presidente peruano'], ['diputada de Peru', 'diputada de Perú', 'diputada peruana', 'diputado de Peru', 'diputado del Peru', 'diputado del Perú', 'diputado peruano'], ['senador de la República de Perú', 'senador del Perú', 'senador peruano', 'senadora de Perú', 'senadora peruana']]"
Fernando Cardenal,Cargo,['ministro de Educación'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Cardenal?,['ministro de Educación'],['nicaragua'],"[['ministra de educacion', 'ministra de educación', 'ministro de Educacion', 'ministro de Instruccion Publica', 'ministro de Instrucción Pública']]"
Fernando Carrera,Cargo,['Ministro de Relaciones Exteriores de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Carrera?,['Ministro de Relaciones Exteriores de Guatemala'],['guatemala'],[['Ministra de Relaciones Exteriores de Guatemala']]
Fernando Chamorro,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Chamorro?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Fernando Errázuriz Aldunate,Cargo,"['director supremo de Chile', 'presidente del Senado de Chile', 'diputado de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Errázuriz Aldunate?,"['director supremo de Chile', 'presidente del Senado de Chile', 'diputado de Chile']","['chile', 'chile', 'chile']","[[], ['presidenta del Senado de la República de Chile', 'presidente del Senado de la República de Chile', 'presidentes del Senado de la República de Chile'], ['diputado chileno', 'diputado de la República de Chile', 'miembro de la Camara de Diputados de Chile', 'miembro de la Cámara de Diputados de Chile']]"
Fernando Figueroa,Cargo,"['presidente de El Salvador', 'Subsecretario de Estado en los Despachos de Guerra y Marina', 'Ministro de Hacienda y Marina']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Figueroa?,"['presidente de El Salvador', 'Subsecretario de Estado en los Despachos de Guerra y Marina', 'Ministro de Hacienda y Marina']","['el_salvador', 'el_salvador', 'el_salvador']","[['presidenta de El Salvador', 'presidente salvadoreño'], ['Subsecretario de Estado de Guerra y Marina', 'Subsecretario de Estado en el Despacho de Guerra y Marina', 'Subsecretario de Guerra y Marina'], ['Ministro de Hacienda y Marina de El Salvador', 'Ministro de Marina y Hacienda de El Salvador']]"
Fernando Flores Labra,Cargo,"['senador de Chile', 'ministro de Hacienda de Chile', 'ministro secretario general de Gobierno de Chile', 'ministro de Economía, Fomento y Reconstrucción']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Flores Labra?,"['senador de Chile', 'ministro de Hacienda de Chile', 'ministro secretario general de Gobierno de Chile', 'ministro de Economía, Fomento y Reconstrucción']","['chile', 'chile', 'chile', 'chile']","[['miembro del Senado de Chile', 'senador chileno', 'senador de la República de Chile', 'senadora chilena', 'senadora de Chile'], [], ['ministro de la Secretaría General de Gobierno de Chile', 'ministro vocero de Gobierno de Chile', 'vocero de Gobierno de Chile'], []]"
Fernando Gutiérrez Barrios,Cargo,"['Gobernadores de Veracruz', 'senador de México', 'Secretario de Gobernación']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Gutiérrez Barrios?,"['Gobernadores de Veracruz', 'senador de México', 'Secretario de Gobernación']","['mexico', 'mexico', 'mexico']","[['Anexo:Gobernantes de Veracruz'], ['senadora de México', 'miembro del Senado de Mexico', 'miembro del Senado de México', 'senador de Mexico', 'senador mexicano', 'senadora de Mexico', 'senadora mexicana'], ['Secretaria de Gobernación', 'Ministro de Gobernación']]"
Fernando Guzmán Solórzano,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Guzmán Solórzano?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Fernando Lugo,Cargo,"['presidente de Paraguay', 'Presidencia pro témpore de Unasur', 'Senador Nacional de Paraguay', 'Obispo de San Pedro']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Lugo?,"['presidente de Paraguay', 'Presidencia pro témpore de Unasur', 'Senador Nacional de Paraguay', 'Obispo de San Pedro']","['paraguay', 'paraguay', 'paraguay', 'paraguay']","[['Presidente de la Republica del Paraguay', 'Presidente de la República del Paraguay'], ['Presidencia Pro Tempore de Unasur'], ['miembro de la Camara de Senadores de Paraguay', 'miembro de la Cámara de Senadores de Paraguay', 'senador paraguayo', 'senadora de Paraguay', 'senadora paraguaya'], ['Obispo diocesano de San Pedro']]"
Fernando Romeo Lucas García,Cargo,['presidente de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Romeo Lucas García?,['presidente de Guatemala'],['guatemala'],"[['Presidenta de Guatemala', 'Presidente Constitucional de la República de Guatemala', 'presidente de la República de Guatemala']]"
Fernando Torres y Portugal,Cargo,['virrey del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fernando Torres y Portugal?,['virrey del Perú'],['peru'],[['virrey de Perú']]
Fidel Castro,Cargo,"['Presidente de Cuba', 'primer secretario del Partido Comunista de Cuba', 'primer ministro de Cuba', 'secretario general del Movimiento de Países No Alineados']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fidel Castro?,"['Presidente de Cuba', 'primer secretario del Partido Comunista de Cuba', 'primer ministro de Cuba', 'secretario general del Movimiento de Países No Alineados']","['cuba', 'cuba', 'cuba', 'cuba']","[['Presidente de la República de Cuba', 'Presidente del Consejo de Estado de la Republica de Cuba', 'Presidente del Consejo de Estado de la República de Cuba'], [], ['Presidente del Consejo de Ministros de Cuba'], []]"
Fidel Sánchez Hernández,Cargo,['presidente de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fidel Sánchez Hernández?,['presidente de El Salvador'],['el_salvador'],"[['presidenta de El Salvador', 'presidente salvadoreño']]"
Florencio Xatruch,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Florencio Xatruch?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francesco Petrozzi,Cargo,"['Ministro de Cultura del Perú', 'congresista del Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francesco Petrozzi?,"['Ministro de Cultura del Perú', 'congresista del Perú']","['peru', 'peru']","[['Ministra de Cultura', 'ministro de Cultura de Peru', 'ministro de Cultura de Perú', 'Ministro de Cultura del Peru'], ['congresista de Peru', 'congresista de Perú', 'congresista del Peru', 'congresista peruano', 'miembro del Congreso de la Republica de Peru', 'miembro del Congreso de la República de Perú', 'parlamentaria peruana', 'parlamentario de Peru', 'parlamentario de Perú', 'parlamentario peruano']]"
Francisco Aguilar Barquero,Cargo,['Presidente de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Aguilar Barquero?,['Presidente de Costa Rica'],['costa_rica'],[[]]
Francisco Aguirre Sacasa,Cargo,['Minister of Foreign Affairs'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Aguirre Sacasa?,['Minister of Foreign Affairs'],['nicaragua'],"[['canciller', 'Ministro de Asuntos Exteriores']]"
Francisco Alberto Caamaño,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Alberto Caamaño?,['presidente de la República Dominicana'],['republica_dominicana'],"[['PresidenciaRD', 'presidenta de la República Dominicana', 'Presidente de la Republica Dominicana', 'Presidente de la República Dominicana']]"
